"timestamp_utc","action","ticker","price_sar","shares","entry_price","pl_sar","purification_sar","balance_after_sar"
"2026-08-20T10:15:21","SELL","1120.SR","64.55","1.486786","64.65","-0.1487","0","95.972"
"2026-08-20T10:20:17","BUY","1120.SR","64.55","1.486785","64.55","","","95.972"
"2026-08-24T11:25:15","SELL","1120.SR","67.3","1.486785","64.55","4.0887","0.4089","99.6518"
"2026-08-24T12:25:15","BUY","1010.SR","20.8","4.790952","20.8","","","99.6518"
"2026-08-26T10:20:19","SELL","1010.SR","20.99","4.790952","20.8","0.9103","0.091","100.4711"
"2026-08-26T10:25:17","BUY","1010.SR","21","4.784338","21","","","100.4711"
"2026-08-27T07:40:31","SELL","1010.SR","20.99","4.784338","21","-0.0478","0","100.4233"
"2026-08-27T07:45:30","BUY","1010.SR","21.03","4.77524","21.03","","","100.4233"
"2026-08-27T07:50:20","SELL","1010.SR","20.99","4.77524","21.03","-0.191","0","100.2323"
"2026-08-27T08:25:17","BUY","1180.SR","43.4","2.3095","43.4","","","100.2323"
"2026-08-27T09:40:17","SELL","1180.SR","43.32","2.3095","43.4","-0.1848","0","100.0475"
"2026-08-27T09:45:26","BUY","2010.SR","50.5","1.981139","50.5","","","100.0475"
"2026-08-27T10:35:21","SELL","2010.SR","50.4","1.981139","50.5","-0.1981","0","99.8494"
"2026-08-27T10:50:19","BUY","1180.SR","43.36","2.3028","43.36","","","99.8494"
"2026-08-27T10:55:18","SELL","1180.SR","43.32","2.3028","43.36","-0.0921","0","99.7573"
"2026-08-27T11:00:34","BUY","1180.SR","43.38","2.299615","43.38","","","99.7573"
"2026-08-27T11:05:17","SELL","1180.SR","43.3","2.299615","43.38","-0.184","0","99.5733"
"2026-08-27T11:15:31","BUY","1180.SR","43.36","2.296432","43.36","","","99.5733"
"2026-08-27T11:20:19","SELL","1180.SR","43.34","2.296432","43.36","-0.0459","0","99.5274"
"2026-08-27T11:25:19","BUY","7010.SR","44.62","2.230556","44.62","","","99.5274"
"2026-08-30T08:10:19","SELL","7010.SR","44.58","2.230556","44.62","-0.0892","0","99.4382"
"2026-08-30T09:13:10","BUY","2010.SR","50.3","1.976903","50.3","","","99.4382"
"2026-08-30T09:20:19","SELL","2010.SR","50.25","1.976903","50.3","-0.0988","0","99.3394"
"2026-08-30T10:20:16","BUY","2222.SR","26.14","3.800283","26.14","","","99.3394"
"2026-08-30T10:25:18","SELL","2222.SR","26.1","3.800283","26.14","-0.152","0","99.1874"
"2026-08-30T10:26:50","BUY","2222.SR","26.12","3.797374","26.12","","","99.1874"
"2026-08-30T10:30:20","SELL","2222.SR","26.1","3.797374","26.12","-0.0759","0","99.1115"
"2026-08-30T10:35:14","BUY","1211.SR","67.4","1.470497","67.4","","","99.1115"
"2026-08-30T11:25:15","SELL","1211.SR","67.3","1.470497","67.4","-0.147","0","98.9645"
"2026-08-30T11:29:19","BUY","1120.SR","68","1.45536","68","","","98.9645"
"2026-08-30T11:30:23","SELL","1120.SR","67.95","1.45536","68","-0.0728","0","98.8917"
"2026-08-30T11:40:16","BUY","7010.SR","44.46","2.224285","44.46","","","98.8917"
"2026-08-30T11:45:20","SELL","7010.SR","44.42","2.224285","44.46","-0.089","0","98.8027"
"2026-08-30T12:06:47","BUY","2010.SR","50.25","1.966223","50.25","","","98.8027"
"2026-08-31T07:40:20","SELL","2010.SR","50.15","1.966223","50.25","-0.1966","0","98.6061"
"2026-08-31T07:45:17","BUY","2010.SR","50.25","1.96231","50.25","","","98.6061"
"2026-08-31T07:48:44","SELL","2010.SR","50.2","1.96231","50.25","-0.0981","0","98.508"
"2026-08-31T07:55:17","BUY","1120.SR","67.95","1.449713","67.95","","","98.508"
"2026-08-31T09:15:22","SELL","1120.SR","67.85","1.449713","67.95","-0.145","0","98.363"
"2026-08-31T09:55:14","BUY","2222.SR","26.22","3.751449","26.22","","","98.363"
"2026-08-31T10:05:12","SELL","2222.SR","26.22","3.751449","26.22","-0","0","98.363"
"2026-08-31T10:15:17","BUY","7010.SR","44.42","2.214386","44.42","","","98.363"
